id,job_name,short_info
                    ",2019年春・新宿エリアオープニングスタッフ大募集！経験者大歓迎！無資格OK◆最新マシンを駆使し...,
87,,
                        プランナー～WEBマーケティングコミュニケーションからMV制作まで／AOI TYOグループ～,,
                    ",プランナー～WEBマーケティングコミュニケーションからMV制作まで／AOI TYOグループ～ ■...,
88,,
                        【組込みエンジニア／年齢・転職回数不問／年休120日以上／有給休暇取得率73％／定着率95％】,,
                    ",株式会社ジェイエスピー 本社または東京都23区内、横浜市及び川崎市などにあるお客様先での勤務とな...,
89,,
                        年収450万以上／【MZES】Qt/QML、.NET、Linux、Android、iOS開発者,,
                    ",【職種名】 【MZES】Qt/QML、.NET、Linux、Android、iOS開発者 【仕事...,
90,,
                        プログラマー(Web)、システムエンジニア(Web)  【AAAタイトル開発者：エンジニア】ツールエンジニア【東京】,,
                    ",企業名 株式会社Cygames 雇用形態 契約社員、正社員 業務内容 【仕事内容】・レベルエディ...,
91,,
                        PCアプリ開発エンジニア／やる気があれば新たな自社製品の企画立案、及び研究開発にも携われるチャンスあり！,,
                    ",［仕事内容］ ─────────────【 職務概要 】─────────────組み込み機器の...,
92,,
                        エステティシャン（痩身、フェイシャル）: 高卒・第二新卒歓迎無資格OK最新マシンを駆使したスリミングエステ土日休みあり安心のノルマなし⌒,,
                    ",高卒・第二新卒歓迎♪無資格OK◆最新マシンを駆使したスリミングエステ◆土日休みあり♪安心のノルマ...,
93,,
                        アカウントプランナー／アカウントエグゼクティブ WEBマーケティングコミュニケーションの少数精鋭部隊,,
                    ",アカウントプランナー／アカウントエグゼクティブ※WEBマーケティングコミュニケーションの少数精鋭...,
94,,
                        【【新規2Dオリジナルゲーム開発】ゲーム開発エンジニア】,,
                    ",ユナイテッド 株式会社 東京オフィス 住所：渋谷区渋谷1丁目3番3号 ヒューリック青山第2ビル ...,
95,,
                        自社内開発100％のプログラマ,,
                    ",【職種名】 自社内開発100％のプログラマ 【仕事内容】 ◎C、C++を用いた組込ソフトウェア開...,
96,,
                        その他(ソーシャルゲーム)、プログラマー(ソーシャルゲーム)、デザイナー_3D_アートディレクター(ソーシャルゲーム)、デザイナー_2D_アートディレクター(ソー...,,
